0,458
5,506
10,533
15,573
20,630
25,703
30,789
35,864
40,953
45,1057
50,1188
55,1310
60,1448
65,1623
70,1768
75,1967
80,2204
85,2403
90,2646
95,2888
100,3206
105,3574
110,3960
115,4364
120,4788
125,5328
130,5882
135,6505
140,7257
145,8069
150,8869
155,9790
160,10783
165,11888
170,13103
175,14414
180,15858
